,,,,,
Haltech Pricing - January 2026,,,,,
USD,Category,Subcategory,,Price (USD),
HT-080004,Fuel System,Injector Adapters,HT-080004 Fuel Injector Adapter - 14mm 3/4 to Full Length,$ 10.40,9356450016384
HT-080005,Fuel System,Injector Adapters,HT-080005 Fuel Injector Adapter - 14mm 1/2 to 3/4 Length,$ 10.40,9356450016391
HT-080006,Fuel System,Injector Adapters,HT-080006 Fuel Injector Adapter - 14mm 1/2 to Full Length,$ 10.40,9356450016407
HT-080007,Fuel System,Injector Adapters,HT-080007 Fuel Injector Adapter - 14mm Base,$ 10.40,9356450016414
HT-080008,Fuel System,Injector Adapters,HT-080008 Fuel Injector Adapter - Nissan Base,$ 10.40,9356450016421
Ignition Systems,,,,,
HT-120100,Ignition Systems,Ignition Coil Brackets and Kits,HT-120100 R35 Coil Bracket for Toyota JZ,$ 190.00,9356450013734
HT-120101,Ignition Systems,Ignition Coil Brackets and Kits,HT-120101 R35 Coil Bracket for Nissan RB20/25/26 Bracket Only,$ 270.00,9356450018760
HT-120200,Ignition Systems,Ignition Coil Brackets and Kits,"HT-120200 R35 Coil Bracket Kit for Toyota JZ- Includes bracket , coils and connectors",$ 880.00,9356450013857
HT-120202,Ignition Systems,Ignition Coil Brackets and Kits,HT-120202 R35 Coil Bracket for Nissan RB20/25/26 includes bracket coils and connectors,$ 880.00,9356450018777
HT-120203,Ignition Systems,Ignition Coil Brackets and Kits,"HT-120203 R35 Coil Bracket for Nissan RB20/25/26 includes bracket coils, connectors and harness",$ 1125.00,9356450018784
HT-020102,Ignition Systems,Ignition Coils,HT-020102 LS1 Coil with built-in Ignitor,$ 88.00,9356450001618
HT-020106,Ignition Systems,Ignition Coils,HT-020106 Hitachi R35 Ignition Coil Length: 140mm ( Overall ),$ 115.00,9356450013727
HT-020112,Ignition Systems,Ignition Coils,HT-020112 High Output  Inductive Coil suit HPI modules,$ 72.00,9356450001656
HT-020114,Ignition Systems,Ignition Coils,HT-020114 High Output IGN-1A Inductive Coil with built-in module,$ 88.00,9356450001663
HT-020132,Ignition Systems,Ignition Coils,HT-020132 High Output CDI Coil - inc Plug & Pins,$ 88.00,9356450001687
HT-120201,Ignition Systems,Ignition Coils,"HT-120201 R35 Coil Conversion Kit for Toyota JZ- Includes bracket , coils, connectors and harness",$ 1125.00,9356450013925
HT-130306,Ignition Systems,Ignition Coils,HT-130306 8 channel High Output Ignition Coil Harness Only GM/Chrysler,$ 435.00,9356450005685
HT-130312,Ignition Systems,Ignition Coils,HT-130312 8 channel Hi Output Ignition Coil & Harness Kit GM/Chrysler,$ 1139.00,9356450005722
HT-130343,Ignition Systems,Ignition Coils,HT-130343 Elite 2000/2500 Nissan RB30 LS1 Coil harness and Mount,$ 98.00,9356450005982
HT-020002,Ignition Systems,OEM Igniters,HT-020002 Dual Channel OEM Igniter (DUMB),$ 160.00,9356450001427
HT-020004,Ignition Systems,OEM Igniters,HT-020004 Triple Channel OEM Igniter (DUMB),$ 199.00,9356450001434
Inputs and Controls,,,,,
HT-010504,Inputs and Controls,Trim Modules,HT-010504 12 Position Rotary Trim Module - (Boost/Fuel/Ign etc),$ 82.00,9356450000543
Other Products,,,,,
HT-010740,Other Products,Miscellaneous,HT-010740 Onboard Wideband Bosch LSU 4.9 Sensor Kit for Nexus Series and Elite PRO Plug-in ECUs,$ 180.00,9356450000888
HT-010921,Other Products,Miscellaneous,HT-010921 M10 x 1.0 to 1/8 BSPT Adaptor - Stainless Steel,$ 26.00,9356450009676
HT-011800,Other Products,Miscellaneous,HT-011800 Bosch - 60mm Electronic Throttle Body - Includes connector and pins,$ 215.00,9356450013789
HT-011801,Other Products,Miscellaneous,HT-011801 Bosch - 68mm Electronic Throttle Body - Includes connector and Pins,$ 215.00,9356450013796
HT-011802,Other Products,Miscellaneous,HT-011802 Bosch - 74mm Electronic Throttle Body - Includes connector and Pins,$ 215.00,9356450013802
HT-011803,Other Products,Miscellaneous,HT-011803 Bosch - 82mm Electronic Throttle Body - Includes connector and Pins,$ 215.00,9356450013819
HT-011900,Other Products,Miscellaneous,HT-011900 Bosch - DBW Pedal Assembly,$ 135.00,9356450013826
HT-020032,Other Products,Miscellaneous,HT-020032 HPI4 - High Power Igniter - Quad Channel  - Module Only,$ 270.00,9356450001496
HT-020034,Other Products,Miscellaneous,HT-020034 HPI4 - High Power Igniter - Quad Channel - inc Plug & Pins,$ 317.00,9356450001519
HT-020035,Other Products,Miscellaneous,"HT-020035 HPI4 - High Power Igniter Quad Channel 2m Flying Lead Kit Length: 2.0m (78"")",$ 400.00,9356450001526
HT-020036,Other Products,Miscellaneous,HT-020036 HPI6 - High Power Igniter - Six Channel  - Module Only,$ 340.00,9356450001533
HT-020038,Other Products,Miscellaneous,HT-020038 HPI6 - High Power Igniter - Six Channel  - inc Plug & Pins,$ 387.00,9356450001557
HT-020039,Other Products,Miscellaneous,"HT-020039 HPI6 - High Power Igniter Six Channel  2m Flying Lead Kit Length: 2.0m (78"")",$ 470.00,9356450001564
HT-020040,Other Products,Miscellaneous,HT-020040 HPI8 - High Power Igniter - Eight- Channel  - Module Only,$ 425.00,9356450001571
HT-020042,Other Products,Miscellaneous,HT-020042 HPI8 - High Power Igniter Eight Channel  inc Plug & Pins,$ 472.00,9356450001588
HT-020043,Other Products,Miscellaneous,"HT-020043 HPI8 - High Power Igniter Eight Channel  2m Flying Lead Kit Length: 2.0m (78"")",$ 555.00,9356450001595
HT-059908,Other Products,Miscellaneous,HT-059908 TCA 8 4+4 (programmed as TCA 4 A / TCA 4B),$ 549.00,9356450004565
HT-059918,Other Products,Miscellaneous,HT-059918 TCA 8 Eight Channel TCA,$ 549.00,9356450004572
HT-130307,Other Products,Miscellaneous,HT-130307 Elite 1000/1500 Maz 13B EV1 Term Main Harn Only No Sub harn,$ 940.00,9356450005692
HT-130308,Other Products,Miscellaneous,HT-130308 Elite 1000/1500 Maz13B Term Fly Lead Ign Harn Only No Sub ha,$ 47.00,9356450005708
HT-130318,Other Products,Miscellaneous,HT-130318 Elite 2000/2500 Toyota 2JZ Term Main Engine Harness only,$ 940.00,9356450005784
HT-130319,Other Products,Miscellaneous,HT-130319 Elite 2000/2500 Toyota 2JZ Term HPI6 Ignition Harness only,$ 310.00,9356450005791
HT-130326,Other Products,Miscellaneous,HT-130326 E2000/2500 RB Terminated Engine Harness Only,$ 865.00,9356450005852
HT-130327,Other Products,Miscellaneous,HT-130327 R32/33 CAM Angle Sensor Breakout,$ 35.00,9356450005869
HT-130330,Other Products,Miscellaneous,HT-130330 Elite 2000/2500 Twin CAM RB26/25/20  Internal Factory Nis,$ 120.00,9356450005883
HT-130331,Other Products,Miscellaneous,HT-130331 Elite 2000/2500 Twin CAM RB30/26/25/20 External Factory Niss,$ 120.00,9356450005890
HT-130333,Other Products,Miscellaneous,HT-130333 Elite 1000/1500 Maz 13B Term S4/5 CAS Harn Only No Sub harn,$ 82.00,9356450005906
HT-130334,Other Products,Miscellaneous,HT-130334 Elite 1000/1500 Maz 13B Term S6-8 CAS Harn Only No Sub harn,$ 88.00,9356450005913
HT-130337,Other Products,Miscellaneous,HT-130337 Elite 2000/2500 Universal I6 Cylinder IGN-1A Ign Harn only,$ 245.00,9356450005944
HT-130344,Other Products,Miscellaneous,HT-130344 Elite 2000/2500 Nissan RB30 CAS Harness only,$ 36.00,9356450005999
HT-130345,Other Products,Miscellaneous,HT-130345 Elite 2000/2500 Ford Barra 4.0 BA/BF Ignition Harness,$ 36.00,9356450006002
HT-130347,Other Products,Miscellaneous,HT-130347 Elite 2000/2500 Ford Barra 4.0 FG Ignition Harness Only,$ 160.00,9356450006026
HT-130349,Other Products,Miscellaneous,HT-130349 Elite i6 R35 COP Ignition Harness,$ 245.00,9356450013864
HT-135003,Other Products,Miscellaneous,"HT-135003 IC-7 / uC-10 OBDII to CAN - 1400mm / 55"" Length: 1400mm / 55in",$ 47.00,9356450006132
HT-135003,Other Products,Miscellaneous,"HT-135003 IC-7 OBDII to CAN - 1400mm / 55"" Length: 1400mm / 55in",$ 47.00,9356450006132
HT-140875,Other Products,Miscellaneous,HT-140875 Elite 1000/1500 Mazda 13B S4/5 Term Harn Only Fly lead ign,$ 1069.00,9356450006507
HT-140879,Other Products,Miscellaneous,HT-140879 Elite 1000/1500 Mazda 13B S6-8 Term Harn Only Fly lead ign,$ 1075.00,9356450006521
HT-141362,Other Products,Miscellaneous,HT-141362 Elite 2500 GM GEN III LS1 (DBW Ready) Term Harn Only - EV1,$ 670.00,9356450007122
HT-141366,Other Products,Miscellaneous,HT-141366 Elite 2000/2500 GM GEN IV LS2 DBW Ready Term Harn Only - EV1,$ 670.00,9356450007153
HT-141367,Other Products,Miscellaneous,HT-141367 Elite 2500 GM GEN IV LS2 DBW Ready Term Harn Only - EV6,$ 670.00,9356450007160
HT-186331,Other Products,Miscellaneous,HT-186331 Nexus S3/S2 PnP Adapter Harn Only - Honda OBD-I,$ 495.00,9356450015189
Item ID,Other Products,Miscellaneous,Description,Retail Ex Tax,UPC
Outputs and Control,,,,,
HT-020400,Outputs and Control,Boost Control Solenoids,HT-020400 Boost Control Solenoid 3 Port,$ 130.00,9356450002325
HT-020401,Outputs and Control,Boost Control Solenoids,HT-020401 Boost Control Solenoid 4 Port,$ 145.00,9356450011549
HT-020402,Outputs and Control,Boost Control Solenoids,HT-020402 CO2 Boost Control Dual Solenoid & Pressure Sensor Kit,$ 455.00,9356450002332
HT-020305,Outputs and Control,Idle Air Control,HT-020305 Idle Air Control Kit - Haltech Billet,$ 185.00,9356450002288
HT-030202,Outputs and Control,Relays,HT-030202 Solid State Relay 100 AMP,$ 57.00,9356450002592
HT-030204,Outputs and Control,Relays,HT-030204 Power Relay 30A,$ 16.00,9356450002615
Sensors,,,,,
HT-010200,Sensors,Air Temperature Sensors,HT-010200 Air Temp Sensor - Small Thread M14 x 1.5,$ 52.00,9356450000284
HT-010202,Sensors,Air Temperature Sensors,HT-010202 Air Temp Sensor - Large Thread 3/8 NPT 18TPI,$ 52.00,9356450000291
HT-010204,Sensors,Air Temperature Sensors,HT-010204 Air Temp Sensor - 1/4 NPT Thread - Suits Nissan Z32 300ZX,$ 52.00,9356450000314
HT-010206,Sensors,Air Temperature Sensors,HT-010206 Air Temp Sensor - 1/8 NPT Thread,$ 52.00,9356450000338
HT-010230,Sensors,Air Temperature Sensors,HT-010230 Weld Fitting M14 x 1.5 - Small Thread Air Temp Aluminum,$ 16.00,9356450000352
HT-010233,Sensors,Air Temperature Sensors,HT-010233 Weld Fitting 3/8 NPT  - Suit Large Air Temp - Aluminum,$ 16.00,9356450000369
HT-011700,Sensors,Driveshaft Speed Sensors,"HT-011700 Haltech Driveshaft Split Collar  1.812"" / 46mm I.D. 8 Magnet Size: ID: 1.812"" / 46mm",$ 115.00,9356450009591
HT-011701,Sensors,Driveshaft Speed Sensors,"HT-011701 Haltech Driveshaft Split Collar  1.875"" / 47.63mm I.D. 8 Magnet Size: ID : 1.875"" / 47.63mm",$ 115.00,9356450009607
HT-011702,Sensors,Driveshaft Speed Sensors,"HT-011702 Haltech Driveshaft Split Collar  2.125""/ 53.98mm I.D. 8 Magnet Size: ID 2.125"" / 53.98mm",$ 115.00,9356450009614
HT-011703,Sensors,Driveshaft Speed Sensors,"HT-011703 Haltech Driveshaft Split Collar  2.187"" / 55.55mmI.D. 8 Magnet Size: ID : 2.187"" \ 55.55mm",$ 115.00,9356450009621
HT-011000,Sensors,Flex Fuel Sensors,HT-011000 Flex Fuel Composition Sensor,$ 205.00,9356450001281
HT-010904,Sensors,Fluid Pressure Sensors,"HT-010904 150 PSI ""TI"" Fuel/Oil/Wastegate Pressure Sensor",$ 205.00,9356450001182
HT-010906,Sensors,Fluid Pressure Sensors,"HT-010906 250 PSI ""TI"" Fuel/Oil Pressure Sensor",$ 205.00,9356450001205
HT-010908,Sensors,Fluid Pressure Sensors,HT-010908 2000 PSI Brake/Nitrous Pressure Sensor,$ 299.00,9356450001229
HT-010910,Sensors,Fluid Pressure Sensors,HT-010910 150 PSI (10 Bar) Motorsport Stainless Pressure Sensor,$ 205.00,9356450001243
HT-010912,Sensors,Fluid Pressure Sensors,HT-010912 250 PSI (17 Bar) Motorsport Stainless Pressure Sensor 1/8npt,$ 205.00,9356450001250
HT-010916,Sensors,Fluid Pressure Sensors,"HT-010916 500 PSI ""TI"" Pressure Sensor",$ 205.00,9356450001267
HT-010920,Sensors,Fluid Pressure Sensors,HT-010920 Bosch 145 PSI Fluid Pressure and Temperature Sensor,$ 160.00,9356450001274
HT-010922,Sensors,Fluid Pressure Sensors,HT-010922 M10 x 1.0 to 1/8 NPT Adaptor - Suits Bosch Fluid Pressure and Temperature Sensor,$ 26.00,9356450009690
HT-010925,Sensors,Fluid Pressure Sensors,HT-010925 Bosch 4000 PSI Fluid Pressure and Temperature Sensor,$ 160.00,9356450009782
HT-010300,Sensors,Fluid Temperature Sensors,HT-010300 Coolant Temp Sensor - Small Thread M12 x 1.5,$ 52.00,9356450000376
HT-010302,Sensors,Fluid Temperature Sensors,HT-010302 Coolant Temp Sensor - Large Thread 3/8 NPT 18TPI,$ 52.00,9356450000383
HT-010304,Sensors,Fluid Temperature Sensors,HT-010304 Coolant Temp Sensor - 1/8 NPT Thread,$ 52.00,9356450000406
HT-010306,Sensors,Fluid Temperature Sensors,HT-010306 Oil Temperature sensor High Range 150Ã‚Â°C,$ 88.00,9356450000420
HT-010330,Sensors,Fluid Temperature Sensors,HT-010330 Weld Fitting M12 x 1.5  - Small Thread Water Temp Aluminum,$ 16.00,9356450000444
HT-010602,Sensors,Hall Effect Sensors and Pickups,HT-010602 Rare Earth Magnets (5mm DIA x 2mm H) Size: 5mm Diameter x 2mm Height,$ 26.00,9356450000604
HT-010609,Sensors,Hall Effect Sensors and Pickups,HT-010609 GT101 Style High Frequency Hall Effect Sensor Size: 18mm Diameter,$ 88.00,9356450008914
HT-010610,Sensors,Hall Effect Sensors and Pickups,"HT-010610 ""Red"" Single Channel Hall Effect Sensor M12x1.0",$ 88.00,9356450000659
HT-010612,Sensors,Hall Effect Sensors and Pickups,HT-010612 Stainless Steel Single Channel Hall Effect Sensor 3/8-24,$ 205.00,9356450000666
HT-011100,Sensors,Knock Sensors,HT-011100 Knock Sensor - Genuine Bosch,$ 110.00,9356450001311
HT-010100,Sensors,MAP Sensors,HT-010100 1 Bar GM MAP Sensor,$ 110.00,9356450000000
HT-010104,Sensors,MAP Sensors,HT-010104 3 Bar GM MAP Sensor,$ 130.00,9356450000048
HT-010110,Sensors,MAP Sensors,"HT-010110 5 Bar ""TI"" MAP Sensor",$ 245.00,9356450000079
HT-010130,Sensors,MAP Sensors,"HT-010130 7 Bar ""TI"" MAP Sensor",$ 245.00,9356450000215
HT-010134,Sensors,MAP Sensors,HT-010134 3 Bar Motorsport MAP Sensor,$ 150.00,9356450000239
HT-010136,Sensors,MAP Sensors,HT-010136 4 Bar Motorsport MAP Sensor,$ 160.00,9356450000246
HT-010138,Sensors,MAP Sensors,HT-010138 5 Bar Motorsport Stainless Steel Diaphragm MAP Sensor,$ 245.00,9356450000253
HT-011200,Sensors,Position Sensors,"HT-011200 Laser Ride Height Sensor Length: 25mm (1"") to 500mm (19.5"") Range",$ 895.00,9356450001335
HT-011201,Sensors,Position Sensors,"HT-011201 Linear Position Sensor - 1/2"" - 50mm Travel Length: Between Mounting Holes (Closed) 167mm",$ 115.00,9356450011372
HT-011202,Sensors,Position Sensors,"HT-011202 Linear Position Sensor - 1/2"" - 100mm Travel Length: Between Mounting Holes (Closed) 217mm",$ 115.00,9356450011129
HT-011203,Sensors,Position Sensors,"HT-011203 Linear Position Sensor - 1/2"" - 150mm Travel Length: Between Mounting Holes (Closed) 267mm",$ 130.00,9356450011136
HT-011204,Sensors,Position Sensors,"HT-011204 Linear Position Sensor - 1/2"" - 200mm Travel Length: Between Mounting Holes (Closed) 317mm",$ 135.00,9356450011143
HT-011205,Sensors,Position Sensors,"HT-011205 Linear Position Sensor - 1/2"" - 250mm Travel Length: Between Mounting Holes (Closed) 367mm",$ 145.00,9356450011150
HT-011211,Sensors,Position Sensors,"HT-011211 Linear Position Sensor - 1"" - 100mm Travel Length: Between Mounting Holes (Closed) 227mm",$ 160.00,9356450011167
HT-011212,Sensors,Position Sensors,"HT-011212 Linear Position Sensor - 1"" - 150mm Travel Length: Between Mounting Holes (Closed) 277mm",$ 165.00,9356450011174
HT-011213,Sensors,Position Sensors,"HT-011213 Linear Position Sensor - 1"" - 200mm Travel Length: Between Mounting Holes (Closed) 327mm",$ 180.00,9356450011181
HT-011214,Sensors,Position Sensors,"HT-011214 Linear Position Sensor - 1"" - 250mm Travel Length: Between Mounting Holes (Closed) 377mm",$ 199.00,9356450011198
HT-011227,Sensors,Position Sensors,HT-011227 TH400 (Standard Case) Transmission Selector Position - Kit,$ 215.00,9356450013949
HT-011229,Sensors,Position Sensors,HT-011229 TH400 (Reid Case) Transmission Selector Position Kit,$ 215.00,9356450011648
HT-010231,Sensors,Sensor Fittings and Mounts,HT-010231 Weld Fitting 1/8 NPT - 27 TPI - 6061 Aluminium Size: 20.4mm x 13mm,$ 16.00,9356450011075
HT-011230,Sensors,Shock Travel Sensor Mounts,HT-011230 Weld on Shock Sensor Tab - Mild Steel Length: 50mm,$ 21.00,9356450011204
HT-011231,Sensors,Shock Travel Sensor Mounts,"HT-011231 Aluminium Shock Travel Sensor Mounting Nuts - 1/2""-20 Length: 1 1/2"" / 38.2mm",$ 47.00,9356450011211
HT-011232,Sensors,Shock Travel Sensor Mounts,"HT-011232 3/4"" / 19.05mm  Split Collar Shock Sensor Mount Length: N/A",$ 26.00,9356450011228
HT-011233,Sensors,Shock Travel Sensor Mounts,"HT-011233 7/8"" / 22.225mm -Split Collar Shock Sensor Mount Length: N/A",$ 26.00,9356450011235
HT-011234,Sensors,Shock Travel Sensor Mounts,"HT-011234 1"" / 25.4mm Split Collar Shock Travel Sensor Mount Length: N/A",$ 26.00,9356450011242
HT-011235,Sensors,Shock Travel Sensor Mounts,"HT-011235 1 1/8"" / 28.575mm Split Collar Shock Travel Sensor Mount Length: N/A",$ 26.00,9356450011259
HT-011236,Sensors,Shock Travel Sensor Mounts,"HT-011236 1 1/4"" / 31.75mm Split Collar Shock Travel Sensor Mount Length: N/A",$ 26.00,9356450011266
HT-011237,Sensors,Shock Travel Sensor Mounts,"HT-011237 1 1/2"" / 38.1mm Split Collar Shock Travel Sensor Mount Length: N/A",$ 26.00,9356450011273
HT-011238,Sensors,Shock Travel Sensor Mounts,"HT-011238 1 5/8"" / 41.275mm Split Collar Shock Travel Sensor Mount Length: N/A",$ 26.00,9356450011280
HT-010860,Sensors,Thermocouples,"HT-010860 1/4"" Open Tip Thermocouple only - (0.61m) 24"" Long Length: 0.61m (24"")",$ 98.00,9356450001007
HT-010861,Sensors,Thermocouples,"HT-010861 1/4"" Open Tip Thermocouple only - (0.72m) 28-1/2"" Long Length: 0.72m (28.5"")",$ 98.00,9356450001014
HT-010862,Sensors,Thermocouples,"HT-010862 1/4"" Open Tip Thermocouple only - (0.84m) 33"" Long Length: 0.84m (33"")",$ 98.00,9356450001021
HT-010863,Sensors,Thermocouples,"HT-010863 1/4"" Open Tip Thermocouple only - (0.95m) 37-1/2"" Long Length: 0.95m (37.5"")",$ 98.00,9356450001038
HT-010864,Sensors,Thermocouples,"HT-010864 1/4"" Open Tip Thermocouple only - (1.07m) 42"" Long Length: 1.07m (42"")",$ 98.00,9356450001045
HT-010865,Sensors,Thermocouples,"HT-010865 1/4"" Open Tip Thermocouple only - (1.18m) 46-1/2"" Long Length: 1.18m (46.5"")",$ 98.00,9356450001052
HT-010866,Sensors,Thermocouples,"HT-010866 1/4"" Open Tip Thermocouple only - (1.30m) 51"" Long Length: 1.30m (51"")",$ 98.00,9356450001069
HT-010867,Sensors,Thermocouples,"HT-010867 1/4"" Open Tip Thermocouple only - (1.41m) 55-1/2"" Long Length: 1.41m (55.5"")",$ 98.00,9356450001076
HT-010868,Sensors,Thermocouples,"HT-010868 1/4"" Open Tip Thermocouple only - (1.52m) 60"" Long Length: 1.52m (60"")",$ 98.00,9356450001083
HT-010869,Sensors,Thermocouples,"HT-010869 1/4"" Open Tip Thermocouple only - (1.64m) 64-1/2"" Long Length: 1.64m (64.5"")",$ 98.00,9356450001090
HT-010870,Sensors,Thermocouples,"HT-010870 1/4"" Open Tip Thermocouple only - (1.75m) 69"" Long Length: 1.75m (69"")",$ 98.00,9356450001106
HT-010871,Sensors,Thermocouples,"HT-010871 1/4"" Open Tip Thermocouple only - (1.87m) 73-1/2"" Long Length: 1.87m (73.5"")",$ 98.00,9356450001113
HT-010872,Sensors,Thermocouples,"HT-010872 1/4"" Open Tip Thermocouple only - (1.98m) 78"" Long Length: 1.98m (78"")",$ 98.00,9356450001120
HT-010873,Sensors,Thermocouples,"HT-010873 1/4"" Open Tip Thermocouple only - (2.10m) 82-1/2"" Long Length: 2.10m (82.5"")",$ 98.00,9356450001137
HT-010874,Sensors,Thermocouples,"HT-010874 1/4"" Open Tip Thermocouple only - (2.21m) 87"" Long Length: 2.21m (87"")",$ 98.00,9356450001144
HT-010875,Sensors,Thermocouples,"HT-010875 1/4"" Open Tip Thermocouple only - (2.32m) 91-1/2"" Long Length: 2.32m (91.5"")",$ 98.00,9356450001151
HT-010876,Sensors,Thermocouples,"HT-010876 1/4"" Open Tip Thermocouple only - (2.44m) 96"" Long Length: 2.44m (96"")",$ 98.00,9356450001168
HT-059920,Sensors,Thermocouples,HT-059920 TCA2 - Dual Channel Thermocouple Amplifier Box A - BOX ONLY,$ 335.00,9356450004589
HT-059921,Sensors,Thermocouples,HT-059921 TCA2 - Dual Channel Thermocouple Amplifier Box B - BOX ONLY,$ 335.00,9356450004596
HT-059940,Sensors,Thermocouples,HT-059940 TCA4 - Quad Channel Thermocouple Amplifier Box A - BOX ONLY,$ 435.00,9356450004602
HT-059941,Sensors,Thermocouples,HT-059941 TCA4 - Quad Channel Thermocouple Amplifier Box B - BOX ONLY,$ 435.00,9356450004619
HT-010402,Sensors,Throttle Position Sensors,HT-010402 Throttle Position Sensor -Grey CW Rotation 8mm D-Shaft,$ 160.00,9356450000475
HT-010404,Sensors,Throttle Position Sensors,HT-010404 Throttle Position Sensor -Black CCW Rotation 8mm D-Shaft,$ 160.00,9356450000482
HT-010408,Sensors,Throttle Position Sensors,HT-010408 Throttle Position Sensor Motorsport Contactless 8mm TPS Size: 8mm D-Shaft,$ 205.00,9356450000505
HT-038001,Sensors,Throttle Position Sensors,HT-038001 Nissan Attesa 4WD TPS Adaptor,$ 110.00,9356450003032
HT-159976,Sensors,Wideband O2 Controllers,HT-159976 WB1 Bosch - Single Channel CAN O2 Wideband Controller Kit Length: 1.2M (4ft),$ 375.00,9356450007528
HT-159978,Sensors,Wideband O2 Controllers,HT-159978 WB1 NTK - Single Channel CAN O2 Wideband Controller Kit Length: 1.2M (4ft),$ 550.00,9356450009560
HT-159986,Sensors,Wideband O2 Controllers,HT-159986 WB2 Bosch - Dual Channel CAN O2 Wideband Controller Kit Length: 1.2M (4ft),$ 550.00,9356450007559
HT-159988,Sensors,Wideband O2 Controllers,HT-159988 WB2 NTK - Dual Channel CAN O2 Wideband Controller Kit Length: 1.2M (4ft),$ 750.00,9356450009577
HT-010746,Sensors,Wideband O2 Hardware Packs,HT-010746 LSU4.9 Wideband hardware pack,$ 180.00,9356450000901
HT-010747,Sensors,Wideband O2 Hardware Packs,HT-010747 NTK Wideband hardware pack,$ 215.00,9356450000918
HT-010712,Sensors,Wideband O2 Sensors,HT-010712 Wideband O2 Sensor only - NTK LZA08-H5 - Shrouded,$ 180.00,9356450000741
HT-010713,Sensors,Wideband O2 Sensors,HT-010713 Wideband O2 Sensor only -  NTK LZA09-E1 - Laboratory Grade 6mA Shrouded,$ 245.00,9356450016643
HT-010714,Sensors,Wideband O2 Sensors,HT-010714 Wideband O2 Sensor only - Bosch LSU 4.2,$ 150.00,9356450000758
HT-010718,Sensors,Wideband O2 Sensors,HT-010718 Wideband Sensor only - Bosch LSU 4.9 with Factory Connector,$ 130.00,9356450000772
Signal Conditioners,,,,,
HT-038000,Signal Conditioners,Signal Conditioners and Adaptors,HT-038000 Analogue Output Adaptor,$ 110.00,9356450003025
HT-038002,Signal Conditioners,Signal Conditioners and Adaptors,HT-038002 Fuel Level Sender Signal Conditioner,$ 88.00,9356450003049
HT-038006,Signal Conditioners,Signal Conditioners and Adaptors,HT-038006 Tacho Output Adaptor,$ 88.00,9356450003070
HT-038009,Signal Conditioners,Signal Conditioners and Adaptors,HT-038009 DCMD - Direct Current Motor Driver Size: 86mm x 55.5mm,$ 165.00,9356450011082
HT-038010,Signal Conditioners,Signal Conditioners and Adaptors,HT-038010 PRNDL Signal Converter - Suits Toyota A340,$ 180.00,9356450011112
Wiring and Connectivity,,,,,
HT-039205,Wiring and Connectivity,Cables and Extensions,HT-039205 Haltech Multicore Cable - 2 x 22AWG Black/White - 10 Meter (32) Length: 10M / 32ft,$ 21.00,9356450015974
