,,,,,
Haltech Pricing - January 2026,,,,,
USD,Category,Subcategory,,Price (USD),
HT-213318,ECU - Engine Management,Nexus S3,HT-213318 Nexus S3 Plug n Play Adapter Harness Kit - Mitsu EVO 9,$ 2590.00,9356450015745
HT-213319,ECU - Engine Management,Nexus S3,HT-213319 Nexus S3 Plug n Play Adapter Harness Kit - Nissan 300ZX Z32,$ 2590.00,9356450015752
HT-213320,ECU - Engine Management,Nexus S3,HT-213320 Nexus S3 Plug n Play Adapter Harness Kit - Nissan Skyline R32,$ 2590.00,9356450015769
HT-213321,ECU - Engine Management,Nexus S3,HT-213321 Nexus S3 Plug n Play Adapter Harness Kit - Nissan Patrol Y60 Auto,$ 2590.00,9356450015776
HT-213322,ECU - Engine Management,Nexus S3,HT-213322 Nexus S3 Plug n Play Adapter Harness Kit - Nissan Patrol Y60 Y61 Auto,$ 2590.00,9356450015783
HT-213323,ECU - Engine Management,Nexus S3,HT-213323 Nexus S3 Plug n Play Adapter Harness Kit - Toyota LandCruiser 1FZ-FE,$ 2590.00,9356450015790
HT-213324,ECU - Engine Management,Nexus S3,HT-213324 Nexus S3 Plug n Play Adapter Harness Kit - Toyota Supra JZA80,$ 2590.00,9356450015806
HT-213325,ECU - Engine Management,Nexus S3,HT-213325 Nexus S3 Plug n Play Adapter Harness Kit - VW/Audi 1.8T AWP,$ 2590.00,9356450015820
ECU - Power Distribution,,,,,
HT-198000,ECU - Power Distribution,PD16 Power Distribution Module,HT-198000 PD16 PDM,$ 1099.00,9356450010962
HT-198100,ECU - Power Distribution,PD16 Power Distribution Module,HT-198100 PD16  PDM + Plug and pin Set,$ 1175.00,9356450013208
HT-198201,ECU - Power Distribution,PD16 Power Distribution Module,HT-198201 PD16 PDM + Flying Lead Harness (5M),$ 1389.00,9356450013215
Fuel System,,,,,
HT-080102,Fuel System,Fuel Injectors,HT-080102 Bosch 980cc injectors - Flowmatched set of 4 (0280158040),$ 351.00,9356450016285
HT-080103,Fuel System,Fuel Injectors,HT-080103 Bosch 980cc injectors - Flowmatched set of 6 (0280158040),$ 526.50,9356450016292
HT-080104,Fuel System,Fuel Injectors,HT-080104 Bosch 980cc injectors - Flowmatched set of 8 (0280158040),$ 702.00,9356450016308
HT-080105,Fuel System,Fuel Injectors,HT-080105 Bosch 1462cc injectors - Flowmatched set of 4 (0280158333),$ 708.50,9356450016315
HT-080106,Fuel System,Fuel Injectors,HT-080106 Bosch 1462cc injectors - Flowmatched set of 6 (0280158333),$ 1062.75,9356450016322
HT-080107,Fuel System,Fuel Injectors,HT-080107 Bosch 1462cc injectors - Flowmatched set of 8 (0280158333),$ 1417.00,9356450016339
HT-080000,Fuel System,Injector Adapters,HT-080000 Fuel Injector Adapter - 10.5mm 1/2 to Full Length,$ 10.40,9356450016346
HT-080001,Fuel System,Injector Adapters,HT-080001 Fuel Injector Adapter - 10.5mm Nissan RB26DETT GTR,$ 10.40,9356450016353
HT-080002,Fuel System,Injector Adapters,HT-080002 Fuel Injector Adapter - 11mm 1/2 to Full Length,$ 10.40,9356450016360
HT-080003,Fuel System,Injector Adapters,HT-080003 Fuel Injector Adapter - 11mm 3/4 to Full Length,$ 10.40,9356450016377
